,STATEFP,COUNTYFP,ALAND,AWATER
758,41,043,5923636964,50354267
759,50,009,1718717372,28683563
760,20,197,2057320865,13845239
761,42,093,337326249,5407947
762,31,119,1483084605,7325865
763,31,135,2287828025,2840176
764,02,198,13630515350,14624992705
765,12,015,1764058624,458736687
766,46,013,4436728163,46414613
767,46,061,1125574384,1991675
768,17,063,1082842942,32125973
769,55,075,3624558763,389917041
770,51,033,1366502845,24928486
771,30,075,8542288891,1565958
772,20,057,2844508248,2097356
773,02,261,88634324631,15756537958
774,01,009,1670103911,15015423
775,27,131,1284215164,52066242
776,06,079,8548611925,815519172
777,30,033,12112233260,446864351
778,26,051,1299620449,36677053
779,26,087,1669484578,47274003
780,02,290,377034650847,5949465694
781,28,119,1048975541,3676001
782,29,211,1678265048,9122602
783,72,039,172310204,459604
784,13,315,978525380,11147628
785,30,081,6192654381,24209796
786,19,179,1118453189,10836292
787,48,087,2378749928,2279194
788,18,011,1095336916,877155
789,20,143,1866683176,1567629
790,20,179,2320518307,647342
791,48,415,2345090483,5436957
792,48,335,2359710929,12489775
793,36,113,2246154412,166682936
794,01,103,1500612908,50921199
795,40,077,1870096895,18296988
796,48,219,2352723904,446119
797,42,083,2536067959,13048799
798,16,057,2786483031,2369979
799,13,277,675731947,20428670
800,48,303,2319602816,13205758
801,53,007,7565788664,189679750
802,08,103,8342275042,4868111
803,13,297,846381028,8314727
804,19,151,1495047140,3666530
805,48,399,2722259321,15604788
806,48,233,2298408152,19507502
807,35,015,10816898665,56282426
808,36,079,596526069,41260930
809,04,007,12323152727,97113523
810,28,123,1577902071,3001523
811,72,149,92298569,3622639
812,46,111,1474346384,3115012
813,36,039,1676140493,28201061
814,29,169,1417012539,11314753
815,20,001,1295763786,13022381
816,26,143,1346526278,155723123
817,48,283,3850545736,19503739
818,31,113,1478003937,1203586
819,27,151,1921871297,26208675
820,05,023,1434168144,98893719
821,20,041,2193894228,12632458
822,40,133,1639040844,19778908
823,18,113,1064071373,17074606
824,17,159,932537547,4874777
825,21,163,791045869,49412185
826,05,139,2691555887,41400825
